指令集,指令类型,指令名,id_inst[31:0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,br,mem_write,mem_read,regs_write,mem2reg,br_addr_mode,src1_sel[1:0],,src2_sel[1:0],,id_imm[31:0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,op_ctl[31:0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,,,,,,,,1,0,1,0,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0
RV32I,控制转移类:uncond-jump,JALR,s,imm_10_0,,,,,,,,,,,rs1,,,,,0,0,0,rd,,,,,1,1,0,0,1,1,1,,1,0,0,1,0,0,1,0,1,0,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,imm_10_0,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,0,0,0,0,0
RV32I,控制转移类:cond-branch,BEQ,s,imm_10_5,,,,,,rs2,,,,,rs1,,,,,0,0,0,imm_4_1,,,,imm_11,1,1,0,0,0,1,1,,1,0,0,0,0,1,0,0,0,0,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,imm_11,imm_10_5,,,,,,imm_4_1,,,,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,1,0,0,0,0
RV32I,控制转移类:cond-branch,BNE,s,imm_10_5,,,,,,rs2,,,,,rs1,,,,,0,0,1,imm_4_1,,,,imm_11,1,1,0,0,0,1,1,,1,0,0,0,0,1,0,0,0,0,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,imm_11,imm_10_5,,,,,,imm_4_1,,,,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,1,0,0,0,0
RV32I,控制转移类:cond-branch,BLT,s,imm_10_5,,,,,,rs2,,,,,rs1,,,,,1,0,0,imm_4_1,,,,imm_11,1,1,0,0,0,1,1,,1,0,0,0,0,1,0,0,0,0,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,imm_11,imm_10_5,,,,,,imm_4_1,,,,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,1,0,0,0,0
RV32I,控制转移类:cond-branch,BGE,s,imm_10_5,,,,,,rs2,,,,,rs1,,,,,1,0,1,imm_4_1,,,,imm_11,1,1,0,0,0,1,1,,1,0,0,0,0,1,0,0,0,0,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,imm_11,imm_10_5,,,,,,imm_4_1,,,,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,1,0,0,0,0
RV32I,控制转移类:cond-branch,BLTU,s,imm_10_5,,,,,,rs2,,,,,rs1,,,,,1,1,0,imm_4_1,,,,imm_11,1,1,0,0,0,1,1,,1,0,0,0,0,1,0,0,0,0,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,imm_11,imm_10_5,,,,,,imm_4_1,,,,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,1,0,0,0,0
RV32I,控制转移类:cond-branch,BGEU,s,imm_10_5,,,,,,rs2,,,,,rs1,,,,,1,1,1,imm_4_1,,,,imm_11,1,1,0,0,0,1,1,,1,0,0,0,0,1,0,0,0,0,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,imm_11,imm_10_5,,,,,,imm_4_1,,,,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,1,0,0,0,0
RV32I,访存类:load,LB,s,imm_10_0,,,,,,,,,,,rs1,,,,,0,0,0,rd,,,,,0,0,0,0,0,1,1,,0,0,1,1,1,-,0,0,0,1,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,imm_10_0,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0
RV32I,访存类:load,LH,s,imm_10_0,,,,,,,,,,,rs1,,,,,0,0,1,rd,,,,,0,0,0,0,0,1,1,,0,0,1,1,1,-,0,0,0,1,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,imm_10_0,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0
RV32I,访存类:load,LW,s,imm_10_0,,,,,,,,,,,rs1,,,,,0,1,0,rd,,,,,0,0,0,0,0,1,1,,0,0,1,1,1,-,0,0,0,1,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,imm_10_0,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0
RV32I,访存类:load,LBU,s,imm_10_0,,,,,,,,,,,rs1,,,,,1,0,0,rd,,,,,0,0,0,0,0,1,1,,0,0,1,1,1,-,0,0,0,1,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,imm_10_0,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0
RV32I,访存类:load,LHU,s,imm_10_0,,,,,,,,,,,rs1,,,,,1,0,1,rd,,,,,0,0,0,0,0,1,1,,0,0,1,1,1,-,0,0,0,1,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,imm_10_0,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0
RV32I,访存类:store,SB,s,imm_10_5,,,,,,rs2,,,,,rs1,,,,,0,0,0,imm_4_0,,,,,0,1,0,0,0,1,1,,0,1,0,0,0,-,0,0,0,1,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,imm_10_5,,,,,,imm_4_0,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0
RV32I,访存类:store,SH,s,imm_10_5,,,,,,rs2,,,,,rs1,,,,,0,0,1,imm_4_0,,,,,0,1,0,0,0,1,1,,0,1,0,0,0,-,0,0,0,1,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,imm_10_5,,,,,,imm_4_0,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0
RV32I,访存类:store,SW,s,imm_10_5,,,,,,rs2,,,,,rs1,,,,,0,1,0,imm_4_0,,,,,0,1,0,0,0,1,1,,0,1,0,0,0,-,0,0,0,1,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,imm_10_5,,,,,,imm_4_0,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0
